epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,18082.5,0.52485,2.01191,0.80324,0.35452,0.2507,0.27652,0.25888,0.40985,1.60112,0.7835,0.007954,0.007954,0.007954
64,18372.4,0.52356,2.00488,0.80358,0.35175,0.25609,0.27821,0.25954,0.41846,1.60681,0.78401,0.007921,0.007921,0.007921
65,18663.3,0.51946,2.01418,0.80368,0.35496,0.2583,0.27885,0.26104,0.40754,1.60746,0.78267,0.007888,0.007888,0.007888
66,18954.1,0.52526,2.00094,0.80273,0.36335,0.25593,0.28273,0.26462,0.40985,1.5972,0.78327,0.007855,0.007855,0.007855
67,19243.5,0.52055,1.98904,0.80292,0.36317,0.26026,0.28249,0.26435,0.40702,1.59137,0.78317,0.007822,0.007822,0.007822
68,19532.9,0.51785,1.9518,0.80262,0.36331,0.26415,0.28878,0.27004,0.41023,1.57498,0.78337,0.007789,0.007789,0.007789
69,19822.3,0.52301,1.953,0.80256,0.36223,0.27234,0.29252,0.27391,0.40751,1.57246,0.7827,0.007756,0.007756,0.007756
70,20111.2,0.51441,1.9439,0.802,0.37244,0.27051,0.29526,0.27689,0.40411,1.55119,0.78238,0.007723,0.007723,0.007723
71,20401.3,0.51726,1.95478,0.80348,0.37662,0.27281,0.29621,0.27732,0.40619,1.54477,0.78291,0.00769,0.00769,0.00769
72,20691,0.51862,1.93775,0.80268,0.36975,0.27677,0.29984,0.28107,0.40625,1.55062,0.78317,0.007657,0.007657,0.007657
73,20980.8,0.51682,1.92742,0.80301,0.37969,0.27798,0.30471,0.28554,0.4075,1.54075,0.78283,0.007624,0.007624,0.007624
74,21270.7,0.51383,1.90049,0.80112,0.38469,0.28371,0.31034,0.29087,0.40403,1.53234,0.78236,0.007591,0.007591,0.007591
75,21561.3,0.51481,1.90709,0.80241,0.38672,0.281,0.30732,0.28768,0.4074,1.52241,0.78267,0.007558,0.007558,0.007558
76,21852.6,0.51851,1.90733,0.80246,0.38992,0.28513,0.31094,0.29188,0.40248,1.51149,0.78216,0.007525,0.007525,0.007525
77,22143.8,0.51266,1.86697,0.80199,0.38473,0.29191,0.3136,0.29402,0.40477,1.50063,0.7822,0.007492,0.007492,0.007492
78,22435,0.51068,1.87356,0.80147,0.39049,0.29365,0.3176,0.29782,0.40325,1.50447,0.78206,0.007459,0.007459,0.007459
79,22725.1,0.51265,1.86966,0.80102,0.37885,0.29498,0.31848,0.29902,0.40012,1.49747,0.78193,0.007426,0.007426,0.007426
80,23015,0.51118,1.87905,0.80184,0.38247,0.2971,0.32068,0.30097,0.40304,1.49589,0.78226,0.007393,0.007393,0.007393
81,23304.5,0.51184,1.86267,0.80121,0.39032,0.29844,0.32415,0.30437,0.39978,1.48392,0.78178,0.00736,0.00736,0.00736
82,23593.8,0.50634,1.85895,0.80135,0.39192,0.30099,0.32596,0.30626,0.4004,1.47455,0.78178,0.007327,0.007327,0.007327
83,23883.2,0.51378,1.85191,0.80185,0.38753,0.3049,0.32664,0.30663,0.40162,1.47643,0.78225,0.007294,0.007294,0.007294
84,24172.1,0.5086,1.85623,0.80129,0.39754,0.31286,0.33133,0.31117,0.40102,1.47095,0.78183,0.007261,0.007261,0.007261
85,24461.4,0.51416,1.8394,0.80123,0.39869,0.30936,0.32953,0.30948,0.40299,1.47229,0.78232,0.007228,0.007228,0.007228
86,24750.7,0.50722,1.84647,0.80039,0.39803,0.30584,0.33246,0.31241,0.40069,1.45618,0.78197,0.007195,0.007195,0.007195
87,25040,0.50992,1.84019,0.80071,0.40984,0.31221,0.33849,0.31785,0.40182,1.44595,0.78173,0.007162,0.007162,0.007162
88,25329.5,0.50617,1.84295,0.80081,0.40497,0.30899,0.3376,0.31702,0.40321,1.45107,0.78189,0.007129,0.007129,0.007129
89,25619.9,0.5087,1.82138,0.8018,0.40351,0.31672,0.33905,0.31793,0.40365,1.44498,0.78223,0.007096,0.007096,0.007096
90,25910.9,0.50847,1.82489,0.80171,0.41575,0.31772,0.3456,0.3252,0.39804,1.43698,0.78145,0.007063,0.007063,0.007063
91,26201,0.50316,1.79647,0.7994,0.40608,0.3191,0.34439,0.32372,0.39978,1.43563,0.78153,0.00703,0.00703,0.00703
92,26490.2,0.50317,1.80617,0.80026,0.42187,0.32313,0.34786,0.32682,0.40161,1.4343,0.78149,0.006997,0.006997,0.006997
93,26779.8,0.50854,1.80233,0.80051,0.41454,0.32447,0.34838,0.32733,0.40081,1.42688,0.7817,0.006964,0.006964,0.006964
94,27069.5,0.50563,1.79778,0.80027,0.42134,0.32519,0.35284,0.33186,0.39817,1.41714,0.78159,0.006931,0.006931,0.006931
95,27359.3,0.50677,1.79972,0.80111,0.42761,0.32492,0.35379,0.33258,0.39977,1.41796,0.78148,0.006898,0.006898,0.006898
96,27648.9,0.49972,1.79445,0.7991,0.42648,0.32549,0.35626,0.33507,0.39802,1.40329,0.78129,0.006865,0.006865,0.006865
97,27939.2,0.50756,1.78687,0.80092,0.4238,0.33064,0.35676,0.33547,0.39929,1.40569,0.78129,0.006832,0.006832,0.006832
98,28229,0.50076,1.7385,0.80014,0.4223,0.33274,0.35934,0.3379,0.39926,1.40088,0.7816,0.006799,0.006799,0.006799
99,28518.8,0.50242,1.76302,0.79984,0.42206,0.33541,0.36218,0.34094,0.39818,1.4068,0.78152,0.006766,0.006766,0.006766
100,28809,0.5036,1.76068,0.79966,0.4259,0.34031,0.36142,0.34008,0.3981,1.39726,0.78131,0.006733,0.006733,0.006733
101,29099.9,0.50377,1.75678,0.79909,0.42098,0.34184,0.36394,0.3424,0.39737,1.39489,0.7814,0.0067,0.0067,0.0067
102,29390.8,0.49772,1.73142,0.79966,0.42875,0.34365,0.36621,0.3445,0.39812,1.38295,0.78109,0.006667,0.006667,0.006667
103,29681.9,0.50134,1.75739,0.79931,0.42975,0.34354,0.36905,0.34734,0.3984,1.3739,0.78131,0.006634,0.006634,0.006634
104,29971.7,0.50242,1.76389,0.79976,0.42037,0.3421,0.36631,0.3448,0.39851,1.38399,0.78123,0.006601,0.006601,0.006601
105,30262.1,0.4991,1.74593,0.79877,0.43091,0.33604,0.36202,0.34063,0.39893,1.40136,0.78141,0.006568,0.006568,0.006568
